"","GeneName","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"18","cg17633agap009593","leptidea_sinapisG00000007204",22.5895585215902,-4.51856641294963,0.886799062722971,-5.09536669905254,3.48066861891344e-07,0.000274885804178689
"19","cogs_10","leptidea_sinapisG00000014132",1103.89059041989,-3.54640624190638,0.863137646992386,-4.10873775957274,3.97827501035124e-05,0.00966720827515352
"20","cogs_3","leptidea_sinapisG00000003202",151.275994816632,-4.21387805526644,0.749491386314691,-5.62231685675057,1.8841327100679e-08,4.46398142332838e-05
"21","cpa2_2","leptidea_sinapisG00000009905",18.4686074585821,-3.28559489934291,0.878638871650278,-3.73941445724093,0.000184449401401799,0.0257062790747772
"22","cpa4","leptidea_sinapisG00000005910",13.4619025756743,-3.62410780230698,0.967053297229454,-3.74757814557876,0.00017855021847882,0.0256381881897541
"23","cpo_2","leptidea_sinapisG00000005091",21.609709521193,-3.69467629808462,0.768833406348982,-4.8055616048603,1.54317710505799e-06,0.00104462067318818
"24","cysk","leptidea_sinapisG00000011690",29.5544603009217,-3.40649785867356,0.830388234263366,-4.10229543015557,4.09071486586179e-05,0.00969192619594305
"25","gcdh","leptidea_sinapisG00000010348",90.5073542439526,-1.05418797755296,0.288444871907089,-3.65472948290972,0.000257453293094782,0.031280575111016
"26","hadh_2","leptidea_sinapisG00000010397",70.3033443013535,-1.43352465808919,0.372746551778896,-3.84584284213451,0.000120138750938729,0.0192975414007853
"27","hadh_3","leptidea_sinapisG00000011744",29.6333628792964,-1.47782965672323,0.390141165277197,-3.78793572237687,0.000151904133910712,0.0229174554723197
"28","jon99cicogs","leptidea_sinapisG00000006123",24.1790010952188,-4.00426219534018,0.920189785366799,-4.35156123119105,1.35171559964052e-05,0.00441731335785971
"29","l(2)efl_6","leptidea_sinapisG00000004890",45.5355273922882,3.22232026687145,0.873108028724864,3.6906318128554,0.000223697733100076,0.029040868720403
"30","mal-a1mal-b2","leptidea_sinapisG00000001896",14.8436057085996,-3.78381239560465,0.932656288993881,-4.05702769633012,4.97011900662906e-05,0.0109479989170276
"31","myro1_6","leptidea_sinapisG00000005734",89.1747732695177,-3.14463345386082,0.812003905637503,-3.87268267064796,0.000107643941382091,0.0182168148656799
"32","myro1_9","leptidea_sinapisG00000006528",95.6105663564136,-3.97809073478146,0.929318488209562,-4.280653818096,1.86345037148438e-05,0.00548817067952652
"33","nas-4","leptidea_sinapisG00000001006",100.275935720493,-3.57199683038697,0.919477743052736,-3.88481054313253,0.000102409716900865,0.0176461252194453
"34","nas-4_2","leptidea_sinapisG00000007390",29.0899172332244,-4.75614459280888,0.853565217108056,-5.57209279089776,2.51697292385369e-08,4.74062238095756e-05
"35","pnliprp2lipi","leptidea_sinapisG00000006211",332.400581033161,-2.69375605519691,0.736578916296018,-3.65711805700713,0.000255066921297623,0.031280575111016
"36","rpusd2","leptidea_sinapisG00000004512",419.469138805177,1.36962016405436,0.375320843921297,3.64919824261495,0.000263060045739128,0.0315572158667052
"37","slc22a15slc22a6slc22a3orct","leptidea_sinapisG00000004309",12.5347434936663,-3.58539710653432,0.847640640449234,-4.22985512425894,2.33841859877631e-05,0.0063317694458866
"38","tceb1","leptidea_sinapisG00000003947",174.200402347165,2.82345988894486,0.720343442266277,3.91960240529428,8.86951687555184e-05,0.0167723667898078
"39","tmprss9cogs","leptidea_sinapisG00000002577",23.0024080261844,-2.88737409252742,0.823230803943974,-3.50736886750891,0.000452561343203536,0.0492979752820679
"40","tryc","leptidea_sinapisG00000010222",766.20905175708,-4.24269586054637,0.895533658253034,-4.73761742112834,2.16245562154329e-06,0.00120550540737446
"41","tryp2tryp7","leptidea_sinapisG00000009612",88.7394790682708,-3.95873668279345,0.880998640024201,-4.49346514619444,7.00734946961762e-06,0.00276702712181526
"42","tryp_3","leptidea_sinapisG00000007979",208.480663890185,-2.58638061790272,0.689324687551582,-3.75204988971062,0.000175394548765894,0.0255725252100673
"43","tryp_4","leptidea_sinapisG00000008059",748.540950099298,-3.7418297201433,0.659091054138841,-5.67725763632511,1.36871249831836e-08,4.32376278218771e-05
"44","vddp4_3","leptidea_sinapisG00000014597",30.6072190078526,-4.20959341987569,0.900516160016004,-4.67464506111792,2.94462440885855e-06,0.00155034475126403
