Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
leptidea_sinapisG00000002182	smyd4	scaffold_240	-	273158	276159	0.279525	0.101682	0.142051
leptidea_sinapisG00000006933	oscp1	scaffold_240	+	276169	279165	1.417486	0.515634	0.720346
leptidea_sinapisG00000012518	nup210	scaffold_240	-	286226	336259	0.732205	0.266352	0.372096
leptidea_sinapisG00000014898	-	scaffold_240	+	337776	359584	1.320689	0.480423	0.671156
leptidea_sinapisG00000002323	hgo	scaffold_240	+	368714	393963	83.967178	30.544483	42.670933
leptidea_sinapisG00000008096	-	scaffold_240	-	393982	394827	0.776596	0.282500	0.394655
leptidea_sinapisG00000000747	caf1	scaffold_240	-	402431	412645	27.234705	9.907085	13.840293
leptidea_sinapisG00000005453	-	scaffold_240	+	415899	417769	13.195081	4.799934	6.705554
leptidea_sinapisG00000001946	tfam	scaffold_240	-	421442	437530	28.032400	10.197260	14.245669
leptidea_sinapisG00000007555	fzd5	scaffold_240	-	449459	458133	13.212237	4.806175	6.714272
leptidea_sinapisG00000012925	fz4	scaffold_240	-	507547	508452	10.281002	3.739888	5.224660
leptidea_sinapisG00000002103	reps1	scaffold_240	-	524760	535619	7.983280	2.904053	4.056990
leptidea_sinapisG00000012115	-	scaffold_240	-	539487	542015	3378.329834	1228.924683	1716.819458
leptidea_sinapisG00000010266	-	scaffold_243	+	51377	63717	65.745903	23.916185	33.411140
leptidea_sinapisG00000002195	-	scaffold_243	-	215795	221170	26.389124	9.599490	13.410580
leptidea_sinapisG00000012934	-	scaffold_243	+	64499	90809	0.000000	0.000000	0.000000
leptidea_sinapisG00000003364	-	scaffold_243	+	144718	162187	2.236753	0.813657	1.136686
leptidea_sinapisG00000012136	-	scaffold_243	+	175900	209309	0.934148	0.339812	0.474721
leptidea_sinapisG00000008741	-	scaffold_243	-	221502	224852	8.152095	2.965462	4.142779
leptidea_sinapisG00000012057	-	scaffold_243	-	240167	252698	0.508383	0.184933	0.258353
leptidea_sinapisG00000007385	-	scaffold_243	+	231709	235302	251.185333	91.372917	127.648834
leptidea_sinapisG00000011045	-	scaffold_243	+	253071	260254	20.015551	7.280995	10.171619
leptidea_sinapisG00000005907	-	scaffold_243	-	260088	263893	0.000000	0.000000	0.000000
leptidea_sinapisG00000010176	-	scaffold_243	+	274359	287242	5.488167	1.996414	2.789009
leptidea_sinapisG00000013678	-	scaffold_243	-	292377	295015	25.780708	9.378168	13.101392
leptidea_sinapisG00000003755	-	scaffold_243	+	364864	365637	5.509044	2.004008	2.799618
leptidea_sinapisG00000002664	-	scaffold_243	-	408438	418089	2.421782	0.880964	1.230715
leptidea_sinapisG00000000869	-	scaffold_243	+	303119	312810	141.342789	51.415829	71.828407
leptidea_sinapisG00000014758	-	scaffold_243	+	534748	537355	18.917027	6.881388	9.613365
leptidea_sinapisG00000002500	-	scaffold_243	-	540198	571913	0.061512	0.022376	0.031260
leptidea_sinapisG00000009703	-	scaffold_243	+	727394	754289	0.505659	0.183942	0.256969
leptidea_sinapisG00000007872	-	scaffold_243	-	572027	619663	18.733887	6.916052	9.661792
leptidea_sinapisG00000010129	-	scaffold_242	-	49150	53109	0.000000	0.000000	0.000000
leptidea_sinapisG00000003283	-	scaffold_242	-	61341	63680	0.930342	0.338428	0.472787
leptidea_sinapisG00000002288	-	scaffold_242	+	3892	28162	68.379623	24.874245	34.749557
leptidea_sinapisG00000004504	-	scaffold_242	+	91131	133260	27.408508	9.970308	13.928616
leptidea_sinapisG00000006124	-	scaffold_242	-	134103	158667	21.910994	7.970495	11.134859
leptidea_sinapisG00000003224	-	scaffold_242	+	161261	182499	0.223778	0.083145	0.116155
leptidea_sinapisG00000015312	-	scaffold_242	-	175679	176698	89.926468	32.712273	45.699360
leptidea_sinapisG00000014328	-	scaffold_242	-	182767	194325	5.269404	1.916835	2.677837
leptidea_sinapisG00000000499	-	scaffold_242	+	196340	198350	8.176052	2.974177	4.154954
leptidea_sinapisG00000008703	-	scaffold_242	-	201169	202149	24.516819	8.918407	12.459102
leptidea_sinapisG00000008880	-	scaffold_242	-	265552	278980	2.032202	0.739248	1.032736
leptidea_sinapisG00000008786	-	scaffold_242	-	378765	382593	13.310685	4.841987	6.764302
leptidea_sinapisG00000009770	-	scaffold_242	+	386191	389893	13.277413	4.829884	6.747394
leptidea_sinapisG00000003542	-	scaffold_242	+	394581	397133	17.506191	10.617779	14.833138
leptidea_sinapisG00000002075	-	scaffold_242	-	396997	398824	20.582533	7.487245	10.459752
leptidea_sinapisG00000000617	-	scaffold_242	+	401900	407000	55.888706	20.382961	28.475193
leptidea_sinapisG00000006176	-	scaffold_242	+	447710	448321	0.000000	0.000000	0.000000
leptidea_sinapisG00000007493	-	scaffold_242	-	420085	430770	15.228643	5.539676	7.738981
leptidea_sinapisG00000008677	-	scaffold_242	-	452213	462921	12.343917	7.255469	10.135960
leptidea_sinapisG00000008330	-	scaffold_242	+	464516	477809	6.089317	2.215092	3.094505
leptidea_sinapisG00000011368	-	scaffold_242	-	488462	510345	1.640045	0.596594	0.833448
leptidea_sinapisG00000003289	-	scaffold_242	+	513358	523014	9.832284	3.576660	4.996628
leptidea_sinapisG00000009154	-	scaffold_245	+	260957	318625	0.000000	0.000000	0.000000
leptidea_sinapisG00000001341	-	scaffold_242	+	579885	609354	162.136993	58.980076	82.395729
leptidea_sinapisG00000004296	-	scaffold_242	-	609240	617565	0.000000	0.000000	0.000000
leptidea_sinapisG00000014353	-	scaffold_242	+	615438	652045	0.698011	0.253913	0.354719
leptidea_sinapisG00000011853	-	scaffold_242	-	651517	685006	13.599522	4.947056	6.911085
leptidea_sinapisG00000013895	-	scaffold_245	+	648225	706159	20.102177	7.312507	10.215642
leptidea_sinapisG00000005851	-	scaffold_245	-	711721	712587	34.522491	12.558141	17.543842
leptidea_sinapisG00000013468	-	scaffold_245	+	719724	721685	110.970627	40.367443	56.393703
leptidea_sinapisG00000014278	hspb11	scaffold_244	-	365255	365764	28.490196	10.363791	14.478315
leptidea_sinapisG00000007469	-	scaffold_245	-	725639	740488	5.681880	2.820160	3.939791
leptidea_sinapisG00000000771	nomo1	scaffold_244	-	386151	413290	13.330790	4.849300	6.774519
leptidea_sinapisG00000003987	cfap20	scaffold_244	-	419565	432759	5.758176	9.672919	13.513161
leptidea_sinapisG00000011103	stk3	scaffold_244	+	421245	456293	1.634275	0.871631	1.217676
leptidea_sinapisG00000004038	-	scaffold_244	-	460018	463141	3.862591	1.405083	1.962914
leptidea_sinapisG00000001379	alg14	scaffold_244	-	642685	650561	0.000000	0.000000	0.000000
leptidea_sinapisG00000007166	-	scaffold_244	+	661598	662508	0.000000	0.000000	0.000000
leptidea_sinapisG00000012091	klp2	scaffold_244	-	562687	600098	10.117887	3.680552	5.141767
leptidea_sinapisG00000005374	norpa	scaffold_247	+	55829	96086	0.224939	0.083876	0.117175
leptidea_sinapisG00000003210	elavl4	scaffold_247	+	110185	111297	114.807724	41.763252	58.343662
leptidea_sinapisG00000000088	slpr	scaffold_247	-	125923	195133	1.266401	0.460675	0.643567
leptidea_sinapisG00000011774	-	scaffold_247	+	214729	253062	0.000000	0.000000	0.000000
leptidea_sinapisG00000014685	aao2_2	scaffold_247	+	409404	435612	0.000000	0.000000	0.000000
leptidea_sinapisG00000009259	-	scaffold_247	+	309276	326322	2.059991	0.749357	1.046858
leptidea_sinapisG00000009819	mpp5	scaffold_247	+	354946	388945	0.257255	0.597178	0.834263
leptidea_sinapisG00000000870	-	scaffold_247	+	438121	456260	59.840878	21.768131	30.410288
leptidea_sinapisG00000011104	alplalppl2	scaffold_247	+	480905	494586	62.704536	26.653948	37.235821
leptidea_sinapisG00000005746	cyb5cyb5bcytb5-c	scaffold_247	-	494540	506583	9.104725	4.113733	5.746923
leptidea_sinapisG00000008124	mettl25	scaffold_247	+	506153	522275	14.775260	5.728792	8.003178
leptidea_sinapisG00000013838	-	scaffold_247	-	632795	633645	0.000000	0.000000	0.000000
leptidea_sinapisG00000007008	-	scaffold_247	-	633708	634054	0.642256	0.233631	0.326385
leptidea_sinapisG00000013145	-	scaffold_247	-	634609	639829	0.467460	0.170046	0.237557
leptidea_sinapisG00000000371	slc25a21	scaffold_247	-	643153	654581	0.324752	0.118134	0.165034
leptidea_sinapisG00000012089	pcnx1	scaffold_247	+	664222	699184	0.499732	0.181786	0.253957
leptidea_sinapisG00000015324	txn2_2	scaffold_247	-	714702	722628	1.573350	0.572333	0.799554
leptidea_sinapisG00000012054	esr16	scaffold_247	+	611617	626951	163.617630	59.518684	83.148170
leptidea_sinapisG00000013622	elovl4_3	scaffold_246	+	136451	159955	0.000000	0.000000	0.000000
leptidea_sinapisG00000007400	-	scaffold_246	-	283185	289569	0.000000	0.000000	0.000000
leptidea_sinapisG00000003003	elovl1elovl4	scaffold_246	+	10577	94257	5.387412	4.489178	6.271424
leptidea_sinapisG00000014595	-	scaffold_246	-	450122	454761	2.537201	0.922950	1.289370
leptidea_sinapisG00000010736	-	scaffold_246	+	463779	476387	0.106046	0.038576	0.053891
leptidea_sinapisG00000011148	a1cf	scaffold_246	-	485047	488988	0.104087	0.037863	0.052896
leptidea_sinapisG00000014650	-	scaffold_246	+	477807	482933	8.755362	3.184911	4.449351
leptidea_sinapisG00000015287	-	scaffold_246	+	690866	698651	0.000000	0.000000	0.000000
leptidea_sinapisG00000011465	pyr5-6	scaffold_249	-	41462	51101	0.573590	0.208653	0.291490
leptidea_sinapisG00000003779	ccap-r_2	scaffold_246	+	707836	729506	0.000000	0.000000	0.000000
leptidea_sinapisG00000002757	rhpn2	scaffold_249	-	231312	252651	2.342674	0.852187	1.190514
leptidea_sinapisG00000004398	lev-9	scaffold_249	-	371288	441751	0.261348	0.095070	0.132813
leptidea_sinapisG00000007048	tbb2betatub60d	scaffold_249	+	80130	116125	3.882527	1.460459	2.040275
leptidea_sinapisG00000000879	acvr1	scaffold_249	-	125480	149935	1.602621	0.582980	0.814429
leptidea_sinapisG00000006303	cfap45	scaffold_249	-	154745	166214	1.185738	0.483822	0.675905
leptidea_sinapisG00000005622	slc25a26	scaffold_249	+	174622	187147	6.262433	2.278066	3.182480
leptidea_sinapisG00000001893	tp53rk	scaffold_249	+	704848	705537	15.353621	5.585140	7.802494
leptidea_sinapisG00000008386	cg5543	scaffold_249	+	709532	718541	13.138383	4.779309	6.676741
leptidea_sinapisG00000011485	osbpl6	scaffold_249	+	549902	617392	0.000000	0.000000	0.000000
leptidea_sinapisG00000007213	npepl1	scaffold_249	+	630154	647053	11.772650	4.282500	5.982695
leptidea_sinapisG00000014626	cotl1	scaffold_249	-	650705	661725	71.807442	26.121172	36.491528
leptidea_sinapisG00000001601	mrpl39	scaffold_249	-	722353	738372	70.322586	25.581030	35.736942
leptidea_sinapisG00000007739	rd19c	scaffold_249	+	739595	763531	85.696289	31.173473	43.549641
leptidea_sinapisG00000003788	-	scaffold_248	-	3302	16785	103.037094	37.481487	52.361996
leptidea_sinapisG00000013907	scra_2	scaffold_248	+	35098	130998	3.277105	1.192102	1.665378
leptidea_sinapisG00000000167	tret1_2	scaffold_248	+	237036	252624	0.000000	0.000000	0.000000
leptidea_sinapisG00000000193	pepck	scaffold_248	+	150287	189566	44.943527	16.348969	22.839666
leptidea_sinapisG00000001225	smap2	scaffold_248	+	349764	362323	6.125807	2.228366	3.113049
leptidea_sinapisG00000006158	pik3r4	scaffold_248	+	268260	341618	13.525291	4.958100	6.926514
leptidea_sinapisG00000007631	at1g75220_2	scaffold_248	-	277638	280726	0.255365	0.092893	0.129773
leptidea_sinapisG00000009396	cebpg	scaffold_248	-	390333	392715	5.733819	2.085774	2.913846
leptidea_sinapisG00000008150	dennd6b	scaffold_248	+	376276	377955	5.984524	2.176972	3.041250
leptidea_sinapisG00000002629	timm23	scaffold_248	-	380428	383893	13.789151	5.016037	7.007452
leptidea_sinapisG00000000802	dscc1	scaffold_248	+	385401	388259	9.298108	3.382344	4.725167
leptidea_sinapisG00000015470	-	scaffold_248	-	399464	421562	0.497555	0.180994	0.252850
leptidea_sinapisG00000015391	-	scaffold_248	+	472529	481713	2.874963	1.045816	1.461016
leptidea_sinapisG00000004660	dysb	scaffold_248	-	482042	486497	22.112761	8.043891	11.237392
leptidea_sinapisG00000000611	-	scaffold_248	-	542077	576100	3.538872	1.287325	1.798405
leptidea_sinapisG00000015098	-	scaffold_248	+	506710	536477	54.254398	19.735956	27.571320
leptidea_sinapisG00000011599	-	scaffold_248	-	592122	595751	0.794545	0.289029	0.403777
leptidea_sinapisG00000006779	thap11	scaffold_248	+	581798	583108	0.545679	0.198500	0.277306
leptidea_sinapisG00000015219	myro1_19	scaffold_248	-	601084	616991	0.000000	0.000000	0.000000
leptidea_sinapisG00000001796	myro1bglu14	scaffold_248	+	629918	659587	0.000000	0.000000	0.000000
leptidea_sinapisG00000006784	lct_3	scaffold_248	+	667533	717015	4.337341	1.577781	2.204175
leptidea_sinapisG00000007805	-	scaffold_539	+	262747	283176	0.000000	0.000000	0.000000
leptidea_sinapisG00000001429	bs	scaffold_539	+	283228	283653	1.323944	0.481607	0.672810
leptidea_sinapisG00000009177	fabg_3	scaffold_539	-	31240	58195	35.391449	12.874238	17.985434
leptidea_sinapisG00000000648	hsd3	scaffold_539	+	31343	39735	3.540025	1.287744	1.798991
leptidea_sinapisG00000015178	fabgpldh-t	scaffold_539	+	40895	60748	6.553317	3.609238	5.042141
leptidea_sinapisG00000011114	fabg_5	scaffold_539	+	61028	61780	1.837981	0.668597	0.934036
leptidea_sinapisG00000012536	-	scaffold_539	+	74421	85392	1.654741	0.601940	0.840916
leptidea_sinapisG00000002559	coa5	scaffold_539	-	94052	95688	20.145794	7.328373	10.237808
leptidea_sinapisG00000007566	cars2	scaffold_539	+	95942	97465	6.629265	2.411507	3.368899
leptidea_sinapisG00000009073	tmem39a	scaffold_539	-	101302	115500	9.042438	3.289340	4.595239
leptidea_sinapisG00000013706	mbtps2	scaffold_539	+	113687	123259	4.799748	1.745990	2.439164
leptidea_sinapisG00000005787	lyrm2	scaffold_539	-	123220	123814	27.671968	10.066147	14.062503
leptidea_sinapisG00000009548	-	scaffold_539	-	188692	192719	0.000000	0.000000	0.000000
leptidea_sinapisG00000007682	sobp	scaffold_539	+	199239	203771	6.052699	2.201772	3.075896
leptidea_sinapisG00000000547	gnb1l	scaffold_539	-	211831	213870	21.230484	7.722948	10.789032
leptidea_sinapisG00000008206	ext2	scaffold_539	+	216891	242826	0.000000	0.000000	0.000000
leptidea_sinapisG00000007150	f40a3.3_2	scaffold_538	+	18463	24935	2131.337158	775.309937	1083.115479
leptidea_sinapisG00000002025	hdac3	scaffold_538	+	84485	93434	8.520555	3.099496	4.330026
leptidea_sinapisG00000004285	-	scaffold_538	-	102204	110072	5.742130	2.088797	2.918069
leptidea_sinapisG00000006185	cnga3	scaffold_538	-	118493	141258	0.000000	0.000000	0.000000
leptidea_sinapisG00000005860	f40a3.3	scaffold_538	-	68648	81308	456.939636	166.219528	232.210297
leptidea_sinapisG00000014487	-	scaffold_4615	-	860	1352	22.718893	8.264381	11.545421
leptidea_sinapisG00000001202	lrsam1	scaffold_20	-	183506	185587	6.256484	2.275902	3.179457
leptidea_sinapisG00000013687	nas-13nas-4	scaffold_20	-	187435	203141	1.659202	2.746713	3.837184
leptidea_sinapisG00000005626	lipt2	scaffold_20	-	618023	620660	14.954046	5.439787	7.599435
leptidea_sinapisG00000002897	sick	scaffold_20	+	858664	860657	0.000000	0.000000	0.000000
leptidea_sinapisG00000012240	sick_3	scaffold_20	+	902773	966523	3.695229	1.344202	1.877863
leptidea_sinapisG00000012351	sick_4	scaffold_20	+	1000553	1029395	3.626735	1.319286	1.843055
leptidea_sinapisG00000004811	fgfr1op	scaffold_20	-	1041072	1042418	0.866370	0.315157	0.440277
leptidea_sinapisG00000012043	agpat2	scaffold_20	+	1714802	1719959	0.673375	0.244952	0.342200
leptidea_sinapisG00000012325	agpat1_3	scaffold_20	+	1724641	1734710	0.000000	0.000000	0.000000
leptidea_sinapisG00000003724	-	scaffold_20	-	1728594	1739519	0.838517	0.305025	0.426122
leptidea_sinapisG00000013742	-	scaffold_20	+	1734713	1735635	0.000000	0.000000	0.000000
leptidea_sinapisG00000014224	agpat1_4	scaffold_20	-	1775682	1830835	8.303297	3.020465	4.219618
leptidea_sinapisG00000002806	lrrc57	scaffold_20	-	1836726	1837442	12.410042	4.514362	6.306608
leptidea_sinapisG00000007273	mtf2	scaffold_20	+	1838783	1862092	12.424283	4.519543	6.313845
leptidea_sinapisG00000013754	-	scaffold_20	-	1872831	1878852	8.455563	3.075854	4.296998
leptidea_sinapisG00000005321	brd2	scaffold_20	-	1880723	1903113	21.728600	7.904146	11.042168
leptidea_sinapisG00000003240	znf407	scaffold_20	+	1914963	1915901	3.867968	1.407039	1.965647
leptidea_sinapisG00000013062	slc31a1_2	scaffold_20	-	1915730	1922861	12.008165	4.873269	6.808003
leptidea_sinapisG00000001172	c3g	scaffold_20	-	212224	275121	0.319679	0.116289	0.162456
leptidea_sinapisG00000014560	cdc73_2	scaffold_20	+	296181	297191	38.664700	14.064939	19.648855
leptidea_sinapisG00000013499	-	scaffold_20	-	300929	301330	0.000000	0.000000	0.000000
leptidea_sinapisG00000012199	cdc73	scaffold_20	+	307199	323507	0.674530	0.245372	0.342787
leptidea_sinapisG00000015448	slc7a9_3	scaffold_20	-	334948	387397	3.043036	1.106956	1.546428
leptidea_sinapisG00000015012	rab7a	scaffold_20	-	395239	395865	60.599686	22.044161	30.795904
leptidea_sinapisG00000005755	ge16371ga29083	scaffold_20	+	396470	415624	4.332081	2.774010	3.875318
leptidea_sinapisG00000013915	trmt6	scaffold_20	-	416955	419491	9.171014	3.336111	4.660580
leptidea_sinapisG00000000725	suclg2	scaffold_20	+	420681	428380	14.646392	5.327873	7.443089
leptidea_sinapisG00000003387	pmpca	scaffold_20	-	430320	441469	33.365898	12.137409	16.956078
leptidea_sinapisG00000004077	dare	scaffold_20	-	443543	446685	10.283360	3.740746	5.225858
leptidea_sinapisG00000011678	rps5_2	scaffold_20	+	450134	450793	4283.056152	1558.034180	2176.588623
leptidea_sinapisG00000011762	-	scaffold_20	+	455417	458886	14.803383	5.384981	7.522870
leptidea_sinapisG00000013877	ap3m1	scaffold_20	+	460315	472879	13.154799	4.785280	6.685082
leptidea_sinapisG00000002911	-	scaffold_20	-	481984	505147	0.000000	0.000000	0.000000
leptidea_sinapisG00000007017	-	scaffold_20	+	566298	617980	12.698068	4.963116	6.933520
leptidea_sinapisG00000011100	coq4	scaffold_20	+	1927856	1930368	11.451274	4.165595	5.819376
leptidea_sinapisG00000003246	prmt5	scaffold_20	-	1932272	1946154	19.066666	6.935822	9.689410
leptidea_sinapisG00000008376	surf6	scaffold_20	+	1952035	1954118	22.218662	8.082415	11.291210
leptidea_sinapisG00000004864	znf155_2	scaffold_20	-	1966550	1967683	1.323633	0.481494	0.672652
leptidea_sinapisG00000008840	gld_19	scaffold_20	-	1978296	1998866	0.000000	0.000000	0.000000
leptidea_sinapisG00000007703	mrpl51	scaffold_20	+	1969342	1976771	36.032402	16.709892	23.343880
leptidea_sinapisG00000006314	-	scaffold_20	-	2164815	2166553	2.525527	0.918703	1.283437
leptidea_sinapisG00000005799	-	scaffold_20	+	2326316	2327077	0.856955	0.311732	0.435492
leptidea_sinapisG00000007763	psf2	scaffold_20	+	2399201	2401142	7.866148	2.861444	3.997465
leptidea_sinapisG00000005043	grik2	scaffold_20	+	2525176	2538881	0.852269	0.310027	0.433111
leptidea_sinapisG00000011058	traf4	scaffold_20	-	2417198	2444160	1.150880	0.418652	0.584861
leptidea_sinapisG00000002486	mfsd6_2	scaffold_20	+	2541369	2556237	0.000000	0.000000	0.000000
leptidea_sinapisG00000011469	-	scaffold_20	+	2556275	2559802	0.000000	0.000000	0.000000
leptidea_sinapisG00000012733	-	scaffold_21	-	1172850	1176343	0.694550	0.252654	0.352960
leptidea_sinapisG00000001983	-	scaffold_21	+	1256548	1276863	5.327993	1.938148	2.707611
leptidea_sinapisG00000011652	arhgap20_2	scaffold_21	-	1024440	1061208	18.422859	6.701627	9.362237
leptidea_sinapisG00000015046	-	scaffold_21	-	1119934	1129533	0.000000	0.000000	0.000000
leptidea_sinapisG00000008573	mecrcg16935	scaffold_21	+	1280005	1282700	8.823124	5.373803	7.507254
leptidea_sinapisG00000010236	-	scaffold_21	+	1285769	1308790	7.500012	2.839207	3.966400
leptidea_sinapisG00000012706	c17orf53	scaffold_21	-	1312103	1316394	5.316156	1.933842	2.701595
leptidea_sinapisG00000010033	cmd1	scaffold_21	+	1321090	1322048	0.585784	0.213089	0.297687
leptidea_sinapisG00000007535	acbp2	scaffold_21	+	1502229	1517047	0.221134	0.080441	0.112377
leptidea_sinapisG00000004840	pf13_0198_2	scaffold_21	-	1517294	1521763	16.153013	5.875932	8.208733
leptidea_sinapisG00000013879	-	scaffold_21	+	1324967	1396554	0.000000	0.000000	0.000000
leptidea_sinapisG00000006975	faf2-b	scaffold_21	-	1327976	1336421	14.311152	5.205924	7.272725
leptidea_sinapisG00000010068	cyb5r4	scaffold_21	-	1340574	1376022	2.912906	1.176606	1.643730
leptidea_sinapisG00000005456	faah2_2	scaffold_21	+	1397793	1407799	51.278214	18.653318	26.058863
leptidea_sinapisG00000003903	senp8	scaffold_21	-	1409727	1413594	5.693980	2.071282	2.893600
leptidea_sinapisG00000012499	cyc_2	scaffold_21	-	1422539	1425859	75.152260	27.337906	38.191315
leptidea_sinapisG00000009345	-	scaffold_21	+	1438135	1439967	0.000000	0.000000	0.000000
leptidea_sinapisG00000010891	-	scaffold_21	+	1443792	1447425	0.000000	0.000000	0.000000
leptidea_sinapisG00000010001	psme3	scaffold_21	-	1524636	1538286	19.931898	7.459014	10.420315
leptidea_sinapisG00000008945	mettl18	scaffold_21	+	1543273	1545299	10.304269	3.748352	5.236484
leptidea_sinapisG00000009355	pnpo	scaffold_21	-	1545298	1547451	54.225040	19.725275	27.556398
leptidea_sinapisG00000010797	cysb	scaffold_21	-	1829852	1830812	4.621762	1.681244	2.348714
leptidea_sinapisG00000005215	esf1	scaffold_21	-	1841198	1852552	14.536743	5.287986	7.387367
leptidea_sinapisG00000007655	triap1-b	scaffold_21	+	1855676	1856350	18.390100	6.689710	9.345589
leptidea_sinapisG00000009571	spt4	scaffold_21	-	1857295	1859380	35.425457	12.886609	18.002716
leptidea_sinapisG00000014653	srprb	scaffold_21	+	1548705	1558792	93.441841	33.991051	47.485825
leptidea_sinapisG00000003753	h_2	scaffold_21	-	1668678	1681675	3.807487	1.385038	1.934911
leptidea_sinapisG00000002575	c38c10.2slc17a5	scaffold_21	-	1706051	1722873	1.190205	0.523344	0.731116
leptidea_sinapisG00000011158	tmem19	scaffold_21	-	1728813	1732753	6.617126	2.407092	3.362730
leptidea_sinapisG00000001495	acap2	scaffold_21	+	1734474	1764486	0.549828	0.200009	0.279415
leptidea_sinapisG00000003945	acap2_2	scaffold_21	+	1771900	1785794	0.000000	0.000000	0.000000
leptidea_sinapisG00000013764	nanos1	scaffold_21	+	1788940	1796666	0.000000	0.000000	0.000000
leptidea_sinapisG00000011690	cysk	scaffold_21	-	1801233	1823167	5.035026	1.831576	2.558729
leptidea_sinapisG00000007327	sars2	scaffold_21	+	1862147	1871850	12.716610	4.625882	6.462401
leptidea_sinapisG00000003974	dnmt1	scaffold_21	+	1949356	1967061	5.997028	2.181520	3.047605
leptidea_sinapisG00000005882	dbe	scaffold_21	+	1968043	1969077	18.838648	6.852877	9.573535
leptidea_sinapisG00000011046	-	scaffold_21	+	1972867	1989461	1.071375	0.389731	0.544458
leptidea_sinapisG00000003128	hayan	scaffold_21	-	1990545	2004419	11.620483	4.227148	5.905365
leptidea_sinapisG00000001766	znfx1	scaffold_21	-	2013580	2014230	22.222734	8.083896	11.293280
